"Timestamp","Lake Erie Circulation (MWH)"
"07/12/2024 08:50:00",162.6
"07/12/2024 08:55:00",136.7
"07/12/2024 09:00:00",110.8
"07/12/2024 09:05:00",124.1
"07/12/2024 09:10:00",167.3
"07/12/2024 09:15:00",139.6
"07/12/2024 09:20:00",137.6
"07/12/2024 09:25:00",138
"07/12/2024 09:30:00",140
"07/12/2024 09:35:00",85.9
"07/12/2024 09:40:00",38.8
"07/12/2024 09:45:00",133.6
"07/12/2024 09:50:00",132.7
"07/12/2024 09:55:00",82.8
"07/12/2024 10:00:00",25.5
"07/12/2024 10:05:00",17.8
"07/12/2024 10:10:00",-16
"07/12/2024 10:15:00",-73.1
"07/12/2024 10:20:00",-255.1
"07/12/2024 10:25:00",-248
"07/12/2024 10:30:00",-141.2
"07/12/2024 10:35:00",-134.4
"07/12/2024 10:40:00",-76
"07/12/2024 10:45:00",-55.6
"07/12/2024 10:50:00",-126.6
"07/12/2024 10:55:00",-110
"07/12/2024 11:00:00",-111.1
"07/12/2024 11:05:00",-273.9
"07/12/2024 11:10:00",-180.4
"07/12/2024 11:15:00",-98.1
"07/12/2024 11:20:00",-59.7
"07/12/2024 11:25:00",-60
"07/12/2024 11:30:00",-83.2
"07/12/2024 11:35:00",-139.2
"07/12/2024 11:40:00",-33.2
"07/12/2024 11:45:00",-3.1
"07/12/2024 11:50:00",82.6
"07/12/2024 11:55:00",61
"07/12/2024 12:00:00",94.6
"07/12/2024 12:05:00",16.2
"07/12/2024 12:10:00",43.1
"07/12/2024 12:15:00",25
"07/12/2024 12:20:00",20.8
"07/12/2024 12:25:00",88.7
"07/12/2024 12:30:00",65.4
"07/12/2024 12:35:00",133.1
"07/12/2024 12:40:00",133.6
"07/12/2024 12:45:00",120.5
"07/12/2024 12:50:00",58.1
"07/12/2024 12:55:00",55.4
"07/12/2024 13:00:00",148.5
"07/12/2024 13:05:00",69.6
"07/12/2024 13:10:00",4.2
"07/12/2024 13:15:00",-7.8
"07/12/2024 13:20:00",-193.6
"07/12/2024 13:25:00",-186.1
"07/12/2024 13:30:00",-95.8
"07/12/2024 13:35:00",-40.6
"07/12/2024 13:40:00",-78.4
"07/12/2024 13:45:00",-85.3
"07/12/2024 13:50:00",-39
"07/12/2024 13:55:00",-95.3
"07/12/2024 14:00:00",-105.1
"07/12/2024 14:05:00",-37.9
"07/12/2024 14:10:00",109.9
"07/12/2024 14:15:00",147.2
"07/12/2024 14:20:00",11
"07/12/2024 14:25:00",39
"07/12/2024 14:30:00",103.9
"07/12/2024 14:35:00",129.6
"07/12/2024 14:40:00",135.4
"07/12/2024 14:45:00",81.2
"07/12/2024 14:50:00",120.7
"07/12/2024 14:55:00",99.7
"07/12/2024 15:00:00",159.3
"07/12/2024 15:05:00",67.8
"07/12/2024 15:10:00",60
"07/12/2024 15:15:00",70.8
"07/12/2024 15:20:00",130.4
"07/12/2024 15:25:00",178.4
"07/12/2024 15:30:00",207.5
"07/12/2024 15:35:00",163.4
"07/12/2024 15:40:00",167.4
"07/12/2024 15:45:00",151
"07/12/2024 15:50:00",188.5
"07/12/2024 15:55:00",212.4
"07/12/2024 16:00:00",244.2
"07/12/2024 16:05:00",170.8
"07/12/2024 16:10:00",106.8
"07/12/2024 16:15:00",125.2
"07/12/2024 16:20:00",-14.3
"07/12/2024 16:25:00",-4.4
"07/12/2024 16:30:00",-4
"07/12/2024 16:35:00",32
"07/12/2024 16:40:00",88.4
"07/12/2024 16:45:00",166
"07/12/2024 16:50:00",191.2
"07/12/2024 16:55:00",228.3
"07/12/2024 17:00:00",183.3
"07/12/2024 17:05:00",226
"07/12/2024 17:10:00",139.2
"07/12/2024 17:15:00",64.8
"07/12/2024 17:20:00",14.3
"07/12/2024 17:25:00",49.6
"07/12/2024 17:30:00",34
"07/12/2024 17:35:00",61.6
"07/12/2024 17:40:00",41.6
"07/12/2024 17:45:00",58.8
"07/12/2024 17:50:00",66.4
"07/12/2024 17:55:00",68.4
"07/12/2024 18:00:00",47.3
"07/12/2024 18:05:00",50.1
"07/12/2024 18:10:00",82.7
"07/12/2024 18:15:00",9.7
"07/12/2024 18:20:00",62.7
"07/12/2024 18:25:00",95.9
"07/12/2024 18:30:00",93.8
"07/12/2024 18:35:00",179
"07/12/2024 18:40:00",183.2
"07/12/2024 18:45:00",145.2
"07/12/2024 18:50:00",192.9
"07/12/2024 18:55:00",183.4
"07/12/2024 19:00:00",73.3
"07/12/2024 19:05:00",55.6
"07/12/2024 19:10:00",-28.8
"07/12/2024 19:15:00",-16.4
"07/12/2024 19:20:00",-118.3
"07/12/2024 19:25:00",-79.7
"07/12/2024 19:30:00",-98.3
"07/12/2024 19:35:00",-136.8
"07/12/2024 19:40:00",-123.3
"07/12/2024 19:45:00",-114.8
"07/12/2024 19:50:00",-206.5
"07/12/2024 19:55:00",-235.5
"07/12/2024 20:00:00",-187
"07/12/2024 20:05:00",-120
"07/12/2024 20:10:00",-178.8
"07/12/2024 20:15:00",-234.6
"07/12/2024 20:20:00",-336.5
"07/12/2024 20:25:00",-298
"07/12/2024 20:30:00",-252.9
"07/12/2024 20:35:00",-362.4
"07/12/2024 20:40:00",-342.6
"07/12/2024 20:45:00",-368.1
"07/12/2024 20:50:00",-318.9
"07/12/2024 20:55:00",-433.3
"07/12/2024 21:00:00",-402.2
"07/12/2024 21:05:00",-401.6
"07/12/2024 21:10:00",-298.1
"07/12/2024 21:15:00",-98.1
"07/12/2024 21:20:00",-25.7
"07/12/2024 21:25:00",75
"07/12/2024 21:30:00",107.2
"07/12/2024 21:35:00",97.4
"07/12/2024 21:40:00",104.2
"07/12/2024 21:45:00",64.7
"07/12/2024 21:50:00",97.1
"07/12/2024 21:55:00",93.6
"07/12/2024 22:00:00",148.4
"07/12/2024 22:05:00",180.3
"07/12/2024 22:10:00",90
"07/12/2024 22:15:00",290
"07/12/2024 22:20:00",351.6
"07/12/2024 22:25:00",334.4
"07/12/2024 22:30:00",293.2
"07/12/2024 22:35:00",347
"07/12/2024 22:40:00",358.1
"07/12/2024 22:45:00",262.8
"07/12/2024 22:50:00",252.9
"07/12/2024 22:55:00",187.6
"07/12/2024 23:00:00",141
"07/12/2024 23:05:00",175.8
"07/12/2024 23:10:00",198.7
"07/12/2024 23:15:00",259.9
"07/12/2024 23:20:00",157.7
"07/12/2024 23:25:00",96.2
"07/12/2024 23:30:00",152.4
"07/12/2024 23:35:00",148.8
"07/12/2024 23:40:00",161.8
"07/12/2024 23:45:00",135.8
"07/12/2024 23:50:00",122.6
"07/12/2024 23:55:00",72
