Time Stamp,Time Zone,Limiting Facility,Facility PTID,Contingency,Constraint Cost($)
07/12/2024 14:00,EDT,FRESHKLS 138 WILLWBRK 138 1,25320, BASE CASE,53.09
07/12/2024 15:00,EDT,FRESHKLS 138 WILLWBRK 138 1,25320, BASE CASE,75.69
07/12/2024 16:00,EDT,FRESHKLS 138 WILLWBRK 138 1,25320, BASE CASE,151.82
07/12/2024 17:00,EDT,FRESHKLS 138 WILLWBRK 138 1,25320, BASE CASE,52.68
07/12/2024 18:00,EDT,FRESHKLS 138 WILLWBRK 138 1,25320, BASE CASE,60.83
07/12/2024 19:00,EDT,FRESHKLS 138 WILLWBRK 138 1,25320, BASE CASE,55.64
07/12/2024 20:00,EDT,FRESHKLS 138 WILLWBRK 138 1,25320, BASE CASE,10.59
07/12/2024 21:00,EDT,FRESHKLS 138 WILLWBRK 138 1,25320, BASE CASE,2.84
07/12/2024 22:00,EDT,FRESHKLS 138 WILLWBRK 138 1,25320, BASE CASE,3.89
07/12/2024 23:00,EDT,FRESHKLS 138 WILLWBRK 138 1,25320, BASE CASE,10.71
07/12/2024 02:00,EDT,GREENWD  138 VERNON   138 1,25337, BASE CASE,-0.02
07/12/2024 03:00,EDT,GREENWD  138 VERNON   138 1,25337, BASE CASE,-0.02
07/12/2024 04:00,EDT,GREENWD  138 VERNON   138 1,25337, BASE CASE,-0.02
07/12/2024 05:00,EDT,GREENWD  138 VERNON   138 1,25337, BASE CASE,-0.02
07/12/2024 10:00,EDT,GREENWD  138 VERNON   138 1,25337, BASE CASE,-19.66
07/12/2024 12:00,EDT,GREENWD  138 VERNON   138 1,25337, BASE CASE,-51.39
07/12/2024 13:00,EDT,GREENWD  138 VERNON   138 1,25337, BASE CASE,-45.86
07/12/2024 14:00,EDT,GREENWD  138 VERNON   138 1,25337, BASE CASE,-20.9
07/12/2024 15:00,EDT,GREENWD  138 VERNON   138 1,25337, BASE CASE,-26.72
07/12/2024 16:00,EDT,GREENWD  138 VERNON   138 1,25337, BASE CASE,-61.85
07/12/2024 17:00,EDT,GREENWD  138 VERNON   138 1,25337, BASE CASE,-7.46
07/12/2024 18:00,EDT,GREENWD  138 VERNON   138 1,25337, BASE CASE,-17.59
07/12/2024 19:00,EDT,GREENWD  138 VERNON   138 1,25337, BASE CASE,-19.44
07/12/2024 20:00,EDT,GREENWD  138 VERNON   138 1,25337, BASE CASE,-0.11
07/12/2024 21:00,EDT,GREENWD  138 VERNON   138 1,25337, BASE CASE,-0.11
07/12/2024 15:00,EDT,NYCA ACTIVE DNI,990,ACTIVE DNI,-1.47
07/12/2024 19:00,EDT,NYCA ACTIVE DNI,990,ACTIVE DNI,2.05
07/12/2024 10:00,EDT,BRENTWOD  69 PILGRIM   69 3,26534,BRENTWOD-PILGRIM_765,-154.33
07/12/2024 22:00,EDT,BRENTWOD  69 PILGRIM   69 3,26534,BRENTWOD-PILGRIM_765,-107.37
07/12/2024 23:00,EDT,BRENTWOD  69 PILGRIM   69 3,26534,BRENTWOD-PILGRIM_765,-7.54
07/12/2024 09:00,EDT,NRTHPORT 138 PILGRIM  138 2,25308,BUS:NPRT 672&NNC&601&602&603,0.06
07/12/2024 12:00,EDT,NRTHPORT 138 PILGRIM  138 2,25308,BUS:NPRT 672&NNC&601&602&603,0.66
07/12/2024 14:00,EDT,NRTHPORT 138 PILGRIM  138 2,25308,BUS:NPRT 672&NNC&601&602&603,3.54
07/12/2024 15:00,EDT,NRTHPORT 138 PILGRIM  138 2,25308,BUS:NPRT 672&NNC&601&602&603,9.05
07/12/2024 16:00,EDT,NRTHPORT 138 PILGRIM  138 2,25308,BUS:NPRT 672&NNC&601&602&603,15.26
07/12/2024 17:00,EDT,NRTHPORT 138 PILGRIM  138 2,25308,BUS:NPRT 672&NNC&601&602&603,28.83
07/12/2024 18:00,EDT,NRTHPORT 138 PILGRIM  138 2,25308,BUS:NPRT 672&NNC&601&602&603,21.26
07/12/2024 19:00,EDT,NRTHPORT 138 PILGRIM  138 2,25308,BUS:NPRT 672&NNC&601&602&603,11.19
07/12/2024 20:00,EDT,NRTHPORT 138 PILGRIM  138 2,25308,BUS:NPRT 672&NNC&601&602&603,6.06
07/12/2024 21:00,EDT,NRTHPORT 138 PILGRIM  138 2,25308,BUS:NPRT 672&NNC&601&602&603,1.34
07/12/2024 00:00,EDT,SPRNBRK  345 EGRDNCTR 345 1,25105,NEPTUNE HVDC TIE LINE,5.55
07/12/2024 01:00,EDT,SPRNBRK  345 EGRDNCTR 345 1,25105,NEPTUNE HVDC TIE LINE,8.16
07/12/2024 02:00,EDT,SPRNBRK  345 EGRDNCTR 345 1,25105,NEPTUNE HVDC TIE LINE,7.36
07/12/2024 03:00,EDT,SPRNBRK  345 EGRDNCTR 345 1,25105,NEPTUNE HVDC TIE LINE,6.64
07/12/2024 04:00,EDT,SPRNBRK  345 EGRDNCTR 345 1,25105,NEPTUNE HVDC TIE LINE,5.54
07/12/2024 05:00,EDT,SPRNBRK  345 EGRDNCTR 345 1,25105,NEPTUNE HVDC TIE LINE,7.6
07/12/2024 06:00,EDT,SPRNBRK  345 EGRDNCTR 345 1,25105,NEPTUNE HVDC TIE LINE,8.2
07/12/2024 07:00,EDT,SPRNBRK  345 EGRDNCTR 345 1,25105,NEPTUNE HVDC TIE LINE,6.24
07/12/2024 08:00,EDT,SPRNBRK  345 EGRDNCTR 345 1,25105,NEPTUNE HVDC TIE LINE,4.53
07/12/2024 09:00,EDT,SPRNBRK  345 EGRDNCTR 345 1,25105,NEPTUNE HVDC TIE LINE,0.8
07/12/2024 11:00,EDT,SPRNBRK  345 EGRDNCTR 345 1,25105,NEPTUNE HVDC TIE LINE,1.39
07/12/2024 23:00,EDT,SPRNBRK  345 EGRDNCTR 345 1,25105,NEPTUNE HVDC TIE LINE,1.95
07/12/2024 10:00,EDT,ELWOOD   138 NRTHPORT 138 1,25543,NRTHPORT-ELWOOD___138_681,-3.16
07/12/2024 14:00,EDT,ELWOOD   138 NRTHPORT 138 1,25543,NRTHPORT-ELWOOD___138_681,-3.83
07/12/2024 15:00,EDT,ELWOOD   138 NRTHPORT 138 1,25543,NRTHPORT-ELWOOD___138_681,-9.62
07/12/2024 16:00,EDT,ELWOOD   138 NRTHPORT 138 1,25543,NRTHPORT-ELWOOD___138_681,-7.74
07/12/2024 17:00,EDT,ELWOOD   138 NRTHPORT 138 1,25543,NRTHPORT-ELWOOD___138_681,-5.43
07/12/2024 18:00,EDT,ELWOOD   138 NRTHPORT 138 1,25543,NRTHPORT-ELWOOD___138_681,-9.64
07/12/2024 19:00,EDT,ELWOOD   138 NRTHPORT 138 1,25543,NRTHPORT-ELWOOD___138_681,-5.62
07/12/2024 20:00,EDT,ELWOOD   138 NRTHPORT 138 1,25543,NRTHPORT-ELWOOD___138_681,-1.64
07/12/2024 22:00,EDT,ELWOOD   138 NRTHPORT 138 1,25543,NRTHPORT-ELWOOD___138_681,-0.29
07/12/2024 11:00,EDT,NRTHPORT 138 PILGRIM  138 3,25309,NRTHPORT-PILGRIM__138_677,14.75
07/12/2024 12:00,EDT,NRTHPORT 138 PILGRIM  138 3,25309,NRTHPORT-PILGRIM__138_677,13.78
07/12/2024 09:00,EDT,NRTHPORT 138 PILGRIM  138 2,25308,NRTHPORT-PILGRIM__138_679,0.06
07/12/2024 10:00,EDT,NRTHPORT 138 PILGRIM  138 2,25308,NRTHPORT-PILGRIM__138_679,0.21
07/12/2024 13:00,EDT,NRTHPORT 138 PILGRIM  138 2,25308,NRTHPORT-PILGRIM__138_679,15.71
07/12/2024 14:00,EDT,NRTHPORT 138 PILGRIM  138 2,25308,NRTHPORT-PILGRIM__138_679,16.08
07/12/2024 15:00,EDT,NRTHPORT 138 PILGRIM  138 2,25308,NRTHPORT-PILGRIM__138_679,16.52
07/12/2024 16:00,EDT,NRTHPORT 138 PILGRIM  138 2,25308,NRTHPORT-PILGRIM__138_679,15.33
07/12/2024 17:00,EDT,NRTHPORT 138 PILGRIM  138 2,25308,NRTHPORT-PILGRIM__138_679,6.29
07/12/2024 18:00,EDT,NRTHPORT 138 PILGRIM  138 2,25308,NRTHPORT-PILGRIM__138_679,2.53
07/12/2024 19:00,EDT,NRTHPORT 138 PILGRIM  138 2,25308,NRTHPORT-PILGRIM__138_679,7.47
07/12/2024 20:00,EDT,NRTHPORT 138 PILGRIM  138 2,25308,NRTHPORT-PILGRIM__138_679,9.19
07/12/2024 21:00,EDT,NRTHPORT 138 PILGRIM  138 2,25308,NRTHPORT-PILGRIM__138_679,12.49
07/12/2024 13:00,EDT,FARRAGUT 345 GOWANUS  345 2,25140,SCB:GOWANUS(2):41&42231&R4,-0.27
07/12/2024 14:00,EDT,FARRAGUT 345 GOWANUS  345 2,25140,SCB:GOWANUS(2):41&42231&R4,-5.9
07/12/2024 15:00,EDT,FARRAGUT 345 GOWANUS  345 2,25140,SCB:GOWANUS(2):41&42231&R4,-10.89
07/12/2024 16:00,EDT,FARRAGUT 345 GOWANUS  345 2,25140,SCB:GOWANUS(2):41&42231&R4,-14.28
07/12/2024 17:00,EDT,FARRAGUT 345 GOWANUS  345 2,25140,SCB:GOWANUS(2):41&42231&R4,-18.99
07/12/2024 18:00,EDT,FARRAGUT 345 GOWANUS  345 2,25140,SCB:GOWANUS(2):41&42231&R4,-12.59
07/12/2024 17:00,EDT,GREENWD  138 VERNON   138 1,25337,SCB:VERN(2E)36311&R1&38M72&Q01,-0.05
07/12/2024 10:00,EDT,MOTTHAVN 345 RAINEY   345 2,325431,SIN:MOTTHAVN-RAINEY_Q11&R1E,0.03
07/12/2024 09:00,EDT,GREENWD  138 VERNON   138 1,25337,TWR:GOETHALS 22 & 21,-1.14
07/12/2024 10:00,EDT,GREENWD  138 VERNON   138 1,25337,TWR:GOETHALS 22 & 21,-1.71
07/12/2024 22:00,EDT,GREENWD  138 VERNON   138 1,25337,TWR:GOETHALS 22 & 21,-8.01
07/12/2024 23:00,EDT,GREENWD  138 VERNON   138 1,25337,TWR:GOETHALS 22 & 21,-22.03
07/12/2024 20:00,EDT,HAUPPAUG 138 PILGRIM  138 1,25550,TWR:HOLBROOK 880 & 882,-81.02
07/12/2024 08:00,EDT,PILGRIM  138 PILGRIM  138 1,25604,TWR:HOLBROOK 880 & 882,-0.08
07/12/2024 09:00,EDT,PILGRIM  138 PILGRIM  138 1,25604,TWR:HOLBROOK 880 & 882,-0.8
07/12/2024 10:00,EDT,PILGRIM  138 PILGRIM  138 1,25604,TWR:HOLBROOK 880 & 882,-17.92
07/12/2024 11:00,EDT,PILGRIM  138 PILGRIM  138 1,25604,TWR:HOLBROOK 880 & 882,-77.43
07/12/2024 12:00,EDT,PILGRIM  138 PILGRIM  138 1,25604,TWR:HOLBROOK 880 & 882,-77.33
07/12/2024 13:00,EDT,PILGRIM  138 PILGRIM  138 1,25604,TWR:HOLBROOK 880 & 882,-82.44
07/12/2024 14:00,EDT,PILGRIM  138 PILGRIM  138 1,25604,TWR:HOLBROOK 880 & 882,-81.39
07/12/2024 15:00,EDT,PILGRIM  138 PILGRIM  138 1,25604,TWR:HOLBROOK 880 & 882,-80.53
07/12/2024 16:00,EDT,PILGRIM  138 PILGRIM  138 1,25604,TWR:HOLBROOK 880 & 882,-135.33
07/12/2024 17:00,EDT,PILGRIM  138 PILGRIM  138 1,25604,TWR:HOLBROOK 880 & 882,-207.48
07/12/2024 18:00,EDT,PILGRIM  138 PILGRIM  138 1,25604,TWR:HOLBROOK 880 & 882,-98.58
07/12/2024 19:00,EDT,PILGRIM  138 PILGRIM  138 1,25604,TWR:HOLBROOK 880 & 882,-79.87
07/12/2024 21:00,EDT,PILGRIM  138 PILGRIM  138 1,25604,TWR:HOLBROOK 880 & 882,-79.57
07/12/2024 22:00,EDT,PILGRIM  138 PILGRIM  138 1,25604,TWR:HOLBROOK 880 & 882,-26.39
07/12/2024 23:00,EDT,PILGRIM  138 PILGRIM  138 1,25604,TWR:HOLBROOK 880 & 882,-2.05
07/12/2024 09:00,EDT,ELWOOD    69 PULASKLI  69 1,26610,TWR:HOLBROOK 880 & 882,2.82
07/12/2024 11:00,EDT,ELWOOD    69 PULASKLI  69 1,26610,TWR:HOLBROOK 880 & 882,275.92
07/12/2024 12:00,EDT,ELWOOD    69 PULASKLI  69 1,26610,TWR:HOLBROOK 880 & 882,275.56
07/12/2024 13:00,EDT,ELWOOD    69 PULASKLI  69 1,26610,TWR:HOLBROOK 880 & 882,293.86
07/12/2024 14:00,EDT,ELWOOD    69 PULASKLI  69 1,26610,TWR:HOLBROOK 880 & 882,290.11
07/12/2024 15:00,EDT,ELWOOD    69 PULASKLI  69 1,26610,TWR:HOLBROOK 880 & 882,287.05
07/12/2024 16:00,EDT,ELWOOD    69 PULASKLI  69 1,26610,TWR:HOLBROOK 880 & 882,482.35
07/12/2024 17:00,EDT,ELWOOD    69 PULASKLI  69 1,26610,TWR:HOLBROOK 880 & 882,739.51
07/12/2024 18:00,EDT,ELWOOD    69 PULASKLI  69 1,26610,TWR:HOLBROOK 880 & 882,351.38
07/12/2024 19:00,EDT,ELWOOD    69 PULASKLI  69 1,26610,TWR:HOLBROOK 880 & 882,284.69
07/12/2024 20:00,EDT,ELWOOD    69 PULASKLI  69 1,26610,TWR:HOLBROOK 880 & 882,288.81
07/12/2024 21:00,EDT,ELWOOD    69 PULASKLI  69 1,26610,TWR:HOLBROOK 880 & 882,275.04
07/12/2024 22:00,EDT,ELWOOD    69 PULASKLI  69 1,26610,TWR:HOLBROOK 880 & 882,49.65
07/12/2024 23:00,EDT,ELWOOD    69 PULASKLI  69 1,26610,TWR:HOLBROOK 880 & 882,4.23
07/12/2024 08:00,EDT,DEPOSIT   69 INDIANHD  69 1,325971,TWR:HOLBROOK 880 & 882,0.24
