n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
77339440,-117.564293793,34.0079232818,substation,0,,Mira Loma Substation,Southern California Edison,
384800363,-117.949900689,34.0081629412,substation,220000;66000;12000,60,Walnut Substation,Southern California Edison,
33605206,-117.678574689,33.9985736745,substation,220000;66000;12000,,Chino Substation,Southern California Edison,
419134986,-119.168180059,34.1303167676,plant,0,,Ormond Beach Generating Station,GenOn,
65481169,-118.243822054,33.8174481265,substation,0,,,,
64130145,-118.774703941,34.7764880826,substation,0,,Bailey Substation,,
168525614,-118.843807366,34.9558724733,generator,0,,,,
168937739,-119.002370576,35.4548039988,generator,0,,,,
168937738,-118.985180358,35.4522124998,generator,0,,,,
164758880,-117.398783738,35.7000399165,substation,0,,,,
164758876,-117.795858535,35.6525660077,substation,0,,,,
164758882,-117.647282843,35.3652723135,substation,0,,,,
75206115,-118.393799514,33.852536453,substation,220000,60,230kV Switching Station,Southern California Edison Company,
37692647,-119.166907662,34.1310094969,substation,220000,60,,Southern California Edison,
384972421,-117.944930759,34.0085048917,plant,0,,,,
182627500,-120.033515845,36.9831247892,substation,0,,,,
79176953,-120.4073942,37.2928285436,substation,0,,Wilson Substation,Pacific Gas & Electric,
166649175,-115.501127639,33.2422477047,substation,0,,,,
90915109,-115.537308654,32.8021894768,substation,0,,,Imperial Irrigation District,
166649166,-114.680379939,33.6113526348,substation,230000,,,,
167005130,-117.138458035,32.7860290045,substation,230000,,,San Diego Gas & Electric,
93128718,-121.93577629,40.8078940848,substation,0,,Round Mountain,,
103260059,-122.06106745,37.6913006139,substation,230000;12000,,Castro Valley Substation,Pacific Gas & Electric,
166649172,-114.684634649,33.6162076971,substation,0,,,,
77275282,-114.277706329,34.1613648213,substation,0,,,,
77275227,-114.14213552,34.29379826,substation,0,,,,
166658928,-114.88423116,33.0469625563,substation,230000,,,,
181864309,-120.584161877,36.6517444579,substation,0,,,,
93251033,-120.126128264,36.1405189963,substation,0,,Gates,,
164289720,-119.922582614,36.844896261,substation,0,,Herndon Substation,,
182619786,-119.917003466,36.8533029549,substation,0,,,,
23988495,-121.020769374,37.0532597201,substation,0,,Los Banos Substation,Pacific Gas & Electric,
182108228,-121.145817697,36.2651878227,substation,0,,,,
29426718,-122.581229296,38.2509071497,substation,23000;115000;60000;13200;12000;7200,,Lakeville Substation,Pacific Gas & Electric,
33046461,-122.540361302,38.0767756393,substation,0,,Ignacio Substation,Pacific Gas & Electric,
183206719,-122.593337203,38.4288558105,substation,0,,,,
170490300,-122.760693681,38.4976691447,substation,0,,Fulton Substation,,
33292212,-122.267961084,38.2478242607,substation,0,,Tulucay Substation,,
24376544,-121.920914419,38.400962337,substation,0,,Vaca Dixon Substation,Pacific Gas & Electric Co.,
99650319,-117.116730062,33.125759821,substation,230000;69000,,Escondido Substation,San Diego Gas & Electric,
116440984,-117.571463427,33.4531559983,substation,230000,,Talega Substation,San Diego Gas & Electric,
398233739,-122.134102215,37.6352111369,plant,0,,Russell City Energy Center,Calpine,
478160148,-121.894404758,38.0380684067,generator,0,,NRG Pittsburg Generation Station,,
497454218,-114.103946669,34.2883981048,substation,0,,,,
77275243,-114.141403566,34.290968092,substation,0,,Havasu Tap,,
27925546,-122.075594854,37.3262657624,substation,0,,Monta Vista Substation,Pacitic Gas and Electric,
31369697,-122.015254194,37.2809862192,substation,0,,Saratoga Substation,,
177592878,-121.497947513,40.9912228981,substation,0,,,,
93128776,-122.381718781,40.3831912585,substation,0,,Olinda Substation,,
181693250,-122.142755437,39.7778127195,substation,0,,Glenn Substation,,
181709666,-122.269317648,39.3684080427,substation,0,,,,
181693225,-122.262994447,39.5395165015,substation,0,,Logan Creek Substation,,
29989554,-121.264298885,38.7617030123,substation,230000;60000,,Berry Street Receiving Station,Roseville Electric,
150583901,-122.315844119,40.5193481033,substation,0,,Airport Substation,,
150420531,-122.444130053,40.6097873422,substation,0,,Keswick Substation,Western Area Power Administration,
119718455,-117.192386073,32.7660690131,substation,230000;69000,,Old Town Substation,San Diego Gas & Electric,
25453503,-117.219128725,32.9180622994,substation,230000;69000,,Peñasquitos Substation,San Diego Gas & Electric,
32707508,-121.230905647,37.5160168076,substation,0,,,,
552653455,-121.068937177,37.1199464951,substation,0,,,,
23837624,-121.564972065,37.712153724,substation,0,60,Tesla Substation,Pacific Gas and Electric,
153674102,-120.906325073,37.4898966324,substation,0,,,,
32707934,-120.917325593,37.6682663397,substation,0,60,,,
599654271,-121.043099944,37.6424424292,substation,0,,,,
30755899,-121.644797095,39.5551279142,substation,0,,Table Mountain Substation,Pacific Gas & Electric,
92832902,-121.486206311,39.5327077484,substation,0,,,,
581954623,-120.322522579,35.8699688539,substation,0,,,,
93420676,-120.855611429,35.3738598793,substation,0,,Morro Bay,Pacific Gas & Electric,
527745295,-120.321548666,35.8716265309,substation,0,,,,
160544538,-118.254400872,34.1094327146,substation,230000,60,Receiving Station G,LADWP,
71817088,-118.359699966,34.1760403852,substation,230000,60,Toluca Substation (Station E),LADWP,
90961477,-114.705067126,32.7277497473,substation,0,,,,
90961067,-114.748643021,32.7603613438,substation,230000,,,,
32943573,-121.723120918,39.0239329971,substation,0,,,,
599653559,-122.75520806,38.7787486821,substation,0,,,,
33297798,-122.583803382,38.4428002138,substation,0,,,,
24076881,-121.602602344,37.7966374995,substation,0,,,,
105825880,-117.334503581,33.2114268548,substation,230000,,,San Diego Gas & Electric,
32547223,-121.479219529,38.7137780801,substation,0,,Elverta Substation,WAPA,
24049455,-121.580220303,37.7978290342,substation,0,,Tracy,Western Area Power Administration,
97513161,-121.383583992,38.6372921123,substation,0,,,SMUD,
413445217,-120.060447156,35.3821700971,substation,0,,,,
320842292,-120.059416409,35.3716229092,plant,0,,Topaz Solar Farm,First Solar,
267159397,-118.459996913,34.0331934671,substation,230000;138000;34500,,Receiving Station K - Olympic,LOS ANGELES DEPARTMENT OF WATER AND POWER,
75776205,-114.211387445,34.417119443,substation,0,,Black Mesa Substation,,
93581423,-115.121912774,34.1491801792,substation,0,,,,
93581443,-115.121492466,34.1503735968,substation,0,,,,
166549837,-115.451041641,33.8096309936,substation,0,,,,
182788208,-120.536564229,37.9446769243,substation,0,,,,
79248632,-120.802414543,37.7417291481,substation,0,60,,,
30567721,-118.119285065,34.4862732219,substation,0,,Vincent Substation,Southern California Edison,
148224069,-121.207954114,38.5531398817,substation,0,,Cordova Substation,SMUD,
32710411,-121.353290144,38.3729863136,substation,0,,Elk Grove Substation,,
148269720,-121.400026982,38.5316865526,substation,0,,Procter,,
32719176,-121.470084321,38.4895282554,substation,0,,Pocket Substation,,
167884129,-121.475054022,38.5110510062,substation,0,,Campbell Substation,Sacramento Municipal Utility District,
490201397,-121.249439426,40.0074857398,generator,0,,Belden Powerhouse,Pacific Gas & Electric,
24401024,-120.851246644,35.216007797,substation,0,,,,
24400930,-120.850840856,35.2119091951,plant,0,,Diablo Canyon Power Plant,Pacific Gas and Electric,
32943234,-121.123777688,38.3442192446,substation,0,,,,
32701355,-121.124257949,38.3378185591,generator,0,,Cosumnes Power Plant,,
32867671,-121.013773315,38.0155404018,substation,0,,,,
86094474,-117.980504259,34.1051612941,substation,0,,,,
181548172,-122.822297453,42.3464626691,substation,0,,,,
181548182,-122.361405043,41.9768524422,substation,0,,,,
186041109,-122.625376839,40.6459554923,substation,0,,Carr Substation,Western Area Power Administration,
186041113,-122.767447263,40.7921453764,substation,0,,,,
181548170,-122.071609212,42.0937684596,substation,0,,,,
93678748,-121.746549903,37.22137299,substation,0,,,,
30060177,-121.746114175,37.2204576695,plant,0,,Calpine Metcalf Energy Center,Calpine,
169507755,-118.963768916,37.0391448965,substation,0,,,Pacific Gas and Electric Company,
91042866,-114.469596224,32.6842021872,substation,0,,,,
112568707,-121.900878285,37.2336890809,substation,0,,Hicks Substation,PG&E,
114958126,-121.966197861,37.2538357608,substation,230000,,Vasona Substation,PG&E,
52173997,-115.676486838,32.5968841676,substation,230000,,La Rosita,,
52174006,-115.667422386,32.6510181244,substation,0,,,,
52183964,-115.71569919,32.7177012317,substation,500000;230000,,Imperial Valley Substation,,
169880238,-118.203873115,34.0152031609,substation,230000,60,Receiving Station F,LADWP,
86454167,-118.226120067,34.0670393067,substation,230000,60,RECEIVING STATION A,LOS ANGELES DEPARTMENT OF WATER AND POWER,
37093076,-121.357100737,38.7628103516,substation,0,,Fiddyment Receiving Station,Roseville Electric,
28517608,-121.161059669,38.7074716056,substation,0,,Folsom Substation,Western Area Power Administration (WAPA),
181658825,-120.298837391,37.8094228173,substation,0,,,,
24397013,-121.651418772,36.6819806465,substation,0,,,,
643024351,-121.778210827,36.8054415162,plant,0,,Moss Landing Power Plant,Vistra,
165359319,-117.348232024,35.0266316484,substation,0,,,,
39560071,-117.347834355,35.0322824803,plant,0,,,,
79249627,-120.826374629,37.7726429942,substation,0,60,,,
24376540,-121.918120754,38.4052973611,substation,0,,Vaca Dixon Substation,,
24376541,-121.922641474,38.4033070962,substation,0,,,,
36250573,-121.970504835,38.2854362441,substation,0,,Peabody Substation,,
33068400,-122.209061027,38.1381269433,substation,0,,Parkway Substation,,
24388861,-122.223262005,39.1205661542,substation,0,,Cortina Substation,,
518059531,-121.132089473,38.6571199091,substation,0,,Lake Substation,Sacramento Municipal Utility District (SMUD),
148290846,-120.787031144,38.7650986808,generator,0,,Whiterock Powerhouse,,
149630801,-120.621991193,38.7956177514,generator,0,,Camino Powerhouse,,
149769307,-120.531868349,38.8341150602,generator,0,,Jaybird Powerhouse,,
149760444,-120.442825212,38.8634924741,substation,0,,Union Valley Substation,,
38311176,-121.348456312,37.9922063917,substation,0,,,,
181864356,-121.075421809,37.0666512395,substation,0,,,,
79734755,-114.834686485,35.9278066976,substation,0,,Mead,barrier,
183206679,-122.810164504,38.828974673,substation,0,,,,
425352737,-122.768143128,38.834844864,plant,0,,Bottle Rock Power,,
150412591,-122.421194922,40.7151054187,substation,0,,,,
150412593,-122.425120313,40.6789874524,substation,0,,Flanagan Substation,Western Area Power Administration,
24283011,-121.695189624,37.6934346297,substation,0,,,,
345602357,-115.629281425,32.6013818312,substation,0,,,,
183206715,-122.711689624,38.7488272754,substation,0,,,,
599653291,-122.719643165,38.7522626449,substation,0,,,,
66376509,-121.90770227,37.8000348202,substation,0,,Tassajara Substation,,
66376512,-121.936415702,37.7447174019,substation,0,,San Ramon Substation,,
64083268,-114.966757552,34.8448897121,substation,230000,60,,,
77275131,-114.171232477,34.2911947865,substation,0,,,,
166549836,-115.453850484,33.8108103267,substation,0,,,,
166549840,-115.626766257,33.7055403834,substation,0,,,,
166549838,-115.626566888,33.7045441472,substation,0,,,,
345602387,-115.691796709,32.6483918907,substation,0,,,,
345602370,-115.8837762,32.6145780082,substation,0,,,,
181457829,-120.381405221,38.1445483299,substation,0,,,,
182791482,-120.763975494,38.2165771367,substation,0,,,,
24263002,-121.660931556,37.8212117423,substation,0,,,,
480697705,-119.916832655,35.3791021781,substation,0,,,,
24333232,-119.452497199,35.4033459088,substation,0,,Midway,Pacific Gas & Electric,
31871976,-118.391616221,34.2432745683,substation,0,,,,
99645329,-117.030972366,32.9171955491,substation,0,,Sycamore Canyon Substation,San Diego Gas & Electric,
105185729,-116.984419687,32.6794881671,substation,230000,,Miguel Substation,,
56452459,-117.117416029,33.1193836982,generator,0,,Palomar Energy Center,,
37121428,-121.26628828,38.6848547952,substation,0,,Orangevale Substation,SMUD,
37112796,-121.347354472,38.6933851828,substation,0,,Foothill Substation,SMUD,
24057536,-121.077422872,37.0690739243,generator,0,,Gianelli Powerhouse,,
86576027,-121.696677377,39.0526958086,generator,0,,,,
30620967,-117.438030061,34.5513881431,substation,0,,Adelanto Converter Station,Intermountain Power Agency,
386364447,-118.437176928,34.8580303411,substation,0,,Whirlwind Substation,Southern California Edison,
386364446,-118.280866058,35.0349962638,substation,0,,Windhub Substation,Southern California Edison,
30733962,-117.322193106,34.5635409979,substation,0,,Victorville,,
93984381,-121.316627397,42.0064537905,substation,0,,Malin,,
61601149,-117.156291334,33.73943196,substation,0,,Valley Substation,Southern California Edison,
407016872,-116.683066188,32.8087659184,substation,0,,Suncrest Substation,SDG&E,
105185725,-116.982823427,32.6784187948,substation,500000,,Miguel 500kV Substation,,
90966380,-114.491269736,32.7456495736,substation,500000,,,,
105199139,-115.559099976,33.6714467955,substation,0,,,,
507591114,-115.312868552,33.6988336843,substation,0,,Red Bluff Substation,Southern California Edison,
75355429,-114.595337551,35.1470056711,substation,0,,,Southern California Edison,
79671026,-115.011267067,35.8192348525,substation,0,,Marketplace Substation,,
24400937,-120.847253923,35.2162947337,substation,0,,Diablo Canyon,Pacific Gas and Electric,
92966624,-122.276291676,39.2373451983,substation,0,,,,
87177785,-117.167920413,33.738800415,substation,0,,,,
93984357,-121.389986756,42.0796831216,substation,0,,Captain Jack,,
402225518,-114.817221789,33.5806095545,substation,0,,Colorado River Substation,Southern California Edison,
